0,Berlin,52.5200,13.4050,0.034
1,London,51.5074,-0.1278,0.011
2,Paris,48.8566,2.3522,0.035
3,Rome,41.9028,12.4964,0.021
4,Madrid,40.4168,-3.7038,0.667
5,Ankara,39.9208,32.8541,0.938
6,Amsterdam,52.3676,4.9041,0.002
7,Warsaw,52.2297,21.0122,0.100
8,Bern,46.9480,7.4474,0.540
9,Brussels,50.8503,4.3517,0.013
10,Stockholm,59.3293,18.0686,0.028
11,Dublin,53.3498,-6.2603,0.020
12,Vienna,48.2082,16.3738,0.171
13,Oslo,59.9139,10.7522,0.023
14,Fairbanks,64.8378,-147.7164,0.136
15,Honolulu,21.3069,-157.8583,0.010
16,Los Angeles,34.0522,-118.2437,0.071
17,Brasília,-15.7939,-47.8828,1.172
18,Longyearbyen,78.2232,15.6469,0.033
19,Frankfurt,50.1109,8.6821,0.112
20,Nairobi,-1.2921,36.8219,1.795
21,Dubai,25.2048,55.2708,0.016
22,Tokyo,35.6762,139.6503,0.040
23,Singapore,1.3521,103.8198,0.015
24,Perth,-31.9505,115.8605,0.031
25,McMurdo Station,-77.8419,166.6863,0.010
26,New York,40.7128,-74.0060,0.010
27,Miami,25.7617,-80.1918,0.002
28,Chicago,41.8781,-87.6298,0.181
29,Seattle,47.6062,-122.3321,0.056
30,Houston,29.7604,-95.3698,0.013
31,Beijing,39.9042,116.4074,0.043
32,Shanghai,31.2304,121.4737,0.004
33,Guangzhou,23.1291,113.2644,0.021
34,Chengdu,30.5728,104.0668,0.500
35,Urumqi,43.8256,87.6168,0.800
36,Johannesburg,-26.2041,28.0473,1.753
37,Lagos,6.5244,3.3792,0.041
38,Santiago,-33.4489,-70.6693,0.520
39,San Juan,18.4655,-66.1057,0.006
40,Mumbai,19.0760,72.8777,0.014
41,Riyadh,24.7136,46.6753,0.612
42,Tromsø,69.6492,18.9553,0.006
43,Auckland,-36.8485,174.7633,0.002
44,Punta Arenas,-53.1638,-70.9171,0.034
45,Astana,51.1605,71.4704,0.347
46,Tashkent,41.2995,69.2401,0.455
47,Novosibirsk,55.0084,82.9357,0.128
